,text,annotator_1,annotator_2,annotator_3,gold_label
178,Hate U Arshi Khan.. Hindustan Ki Awam Dekh Rahi Hai Dushman Se Dosti Tumhari..Ye Game Hai Ya Pyar..,yes,yes,yes,yes
179,Gauahar k FB pe Hina se kam followers hain .. sahi toh hai ... logo@ko sach batana achha lagta hai sun na nahi .. koi gali toh nahi di na... kuchh bewkoof aise react kar rahe hain jaise murder kar diya ho  agar Hina inki chaplusi karti toh achha bolte,no,no,no,no
180,I hate u Kamya... muje regret hota he ki me kabhi aapka fan tha... aapko insaaniyat naam ki koi chij hi nahi he aapne... I hate u Kamya...,yes,yes,yes,yes
181,Rishta Likhenge Hum Naya Chotti Thakurains chakarvyuh earns Ratans hatred… https://goo.gl/fb/AZY4UF  #StarPlus #Colors,no,no,no,no
182,"Aaj kal khoon rare aata hai, due to unhealthy diet",yes,no,no,no
183,"Jish movie ki story rape viktim girl ki ho,kya ek viktim ko sexy bolna shi hai,ye log simple name rakh skte the.",no,no,yes,no
184,but inko Aise naam rakh kar controversy create kark film ki free publicity karwana tha.,no,no,no,no
185,Vivad hone pr freedom of speech khatre mein aa jata hai,no,no,no,no
186,We are showing  we  really kya baat kar rahe ho  aanshu aagaye yaar koi itna hatred kaise laa sakta hai,no,no,no,no
187,MAIN kon se sachye sa baagi? app ek pic laga k khud tabsra ker rahy ho? main ki koi laga doon ore khoon tum ya ker rahy thy? hahahah lol kia mazaq ha? pic.twitter.com/lwJkNXRkTq,yes,no,no,no
188,Ajj mujhe puneesh aur bandgi ko dekha kar itna zadya gussa aa rha tha ki kaise log hai yeh Mujhe iss season k sabse worst Constants mil gye,no,no,no,no
189,Wese bhi ye sanghi hijde shadi se zyada rape main vishwas rakhte to teri maa ki sari khol kar dekh khaki chadhhi pehni hogi lol hijde chakke,yes,no,yes,no
190,Kal uski behn bati rape hogi,no,no,yes,no
191,Tab bhi love jihad avivyakti ki azadi ban Jana chache,no,no,no,no
192,To khul ke bole pyar hai nafrat nhi... Game kiu khel raha hai,no,no,yes,no
193,10 Logon Ko Phansi Lag Jae To Corruption Khatam Hojae Gi.. Sheikh Rasheed... http://fb.me/9huioeX0q ,no,no,yes,no
194,kaun h vo log jo Hina Akash or luv ko vote kr rhe h...dil khi kho diya kya??? nafrat bdi cheez h.....,no,no,yes,no
195,ek bar fair hokr vote ni kr skte??? insaniyat ki hade par ho gai aaj https://twitter.com/bollywood_life/status/935931424024166405 …,yes,no,no,no
196,"madam aap ka chinta karna bilkul jayaj h, aap ke pati ek bahdur or nidar insan h, biswas rakhiye sir to bahut door ki baat h koi haat bhi nhi laga sakta h, phir aap bhi to ek hindu viragna ho, rani laxmibai rani durgabatti inka or aap ka khoon ek hi h,aap apne pati ki sakti ho,",no,no,no,no
197,Hate u sooooooooooooo muuuuuuuuuuchhhhhh big boss gandgi faila rkhi h bndgi punish ne unhe kuchh nhi khoge hina pr chd jaoge,yes,yes,yes,yes
198,@iPGaur @imanveergurjar Kamya english sikha rahi hate failane k sath sath,yes,yes,yes,no
199,I hate heen khaan ye video Maine abhi dekha kuch galat nahi bolla usne kun itna bada issue bana rahe ho sab sach baat  bol rahi hai wo jo hum aur aap bhi bolte hai heena ke hater hone ka matlab ye nahi ki kisi bhi baat ka issue banao,yes,yes,yes,yes
200,"PM ki post ki izzat krte hai isliye gaali nhi di, mgr jo PM ki post pr hai wo khoon choos raja hai desh ka or ap jese log uska sath de rahe hai",no,no,no,no
201,Hina ki team aisi hi hai kewal nafrat hi rakhti hai..Manu bhai,no,no,yes,no
202,aaj hina ki baari aayi to apne time pe rone lgi public se appl karne lgi,no,no,no,no
203,Puri fake hai,no,no,no,no
204,I hate pungi for doing what they did with luv and Akash but Hina ne ankhon main mirch daali Hai and usne Baal bhi kaate Hai,yes,yes,yes,yes
205,Poora India yahi soch raha hai bro ki jhooti ko tv industry se laye hai ki dusre planet se hate her,yes,yes,yes,yes
206,Akash aur luv ke saath to boht galat Kiya but Hina ke saath wohi Kiya Jo usne Kiya the that's why I hate pungi,yes,yes,yes,yes
207,"Hina khan chalak aur dhokebaaj Lomdi hai, Mai aaj ke task mein hoti toh Uska ka nak katke use shurpanakha banati, I just hate her",yes,yes,yes,yes
208,She hate punish and bandagi iss liye.... Aur madam bolati h unbiased hu...,yes,yes,yes,no
209,"Zillat ki jeet se behtar Izzat ki haar hai, Vikas Gupta ka kahna hai ke shilpa se sakht nafrat karte hai lekin aankh band kar ke support karte hai bhayya ye konsi nafrat hai... #BB11 @doveeyeshashtag",no,no,yes,yes
210,Hina ne khud shilpa ke baal kate ajj apni trun toh India dekh raha hai ek ladki dusri ladki ke baal cut kar rahi hai hate Hina nd love shilp,yes,yes,yes,no
211,"Yeah that's why I hate salman ,pichli baar bhi salman ne bahut bola tha Gaurav Chopra ko aur side manveer manu ki leta rehta tha",yes,yes,yes,yes
212,"Bahot gande log hai yaar ye #PunishSharma and #BandagiKalra ,,disgusting",no,no,no,no
213,Punish ki life me do hi cheeze chalti hai... 1) bandagi 2) gandagi,no,no,no,no
214,I HATE IT jab samny rakhi cheez na milay matlab abhi tou men ny yahan rakhi thi zameen kha gae kya,yes,yes,yes,yes
215,Chill yaar shilpaa...wo nahi samjhegi.. apna khoon math jala gulab k piche...Wo bas Akash PE taras kharahi aur kuch nai...calm down..,no,no,no,no
216,@BenafshaSoona acha hua k aap bahar aa gyi wrna hmari ankho s to khoon ki nadiyaan bah rhi thi.. U were not played well ben.. Apne ghar m gandgi felai hai hina khan or priyank k sath milkr..,no,no,no,no
217,Ha kamyaji ye aapne sahi dekha hai esi hai wo.tabhi to sabhi use etna hate karte hai in se to swami om bhi achhe the yaar #thooo hina khan haak thooooooooook,yes,yes,yes,yes
218,"@adnanjilani4 Adnan Jeelani4 Super Hit Dramas Wafa Bewafa Se, Humare Ghar Mein, Mohabbat Nafrat Se, Aatish pic.twitter.com/TmpwDDB4kN",no,no,yes,no
219,Tu unhi ki.najyaz aulaad hoga teri amma ka rape karkar chod diya hoga warna hume to yahi confirm chakke hain hijde hain aur han gandu bhi he,yes,no,yes,no
220,"Kisi producer ne isko agar show diya to unki bohot bari galti hogi, bcoz isne logo ka itna nafrat gain kiya hai ki TRP zero ho jayega uss show ka. @i_shilpa_shinde @Im_ShilpaShinde @Shilpa_Shinde_ @shilpa_shindey",no,no,yes,no
221,Tumne half dekha Hai pura Dekho,no,no,no,no
222,Hina Ne Fb Fan Following ke baare me kaha Jo Sach Hai h Gauhar ke Followers Kam h fb pe,no,no,no,no
223,Sanjeeda vala Vikas ne bhi agree kiya ki gore log screen pe itne acche nahi dikhte,no,no,no,no
224,Hate karne ka reason laao,yes,yes,yes,no
225,"Apne family ko khoon ke aansoo rulane wali bathroom ja ja ke, khud  mirchi lagnese khoon ke aansoo nikalne lagi  #BB11 #BiggBoss11 #BiggBoss",no,no,no,no
226,Wah Wah kya baat he par viyapam ghotale ki jaaz me 50 se jyada murder ho Gaye he . Apne tou world record Bana diya Saab. Badhai ho apko,no,no,yes,no
227,Fake Hina besaram arshi ki sakal se hi nafrat ho gyi hme,no,no,yes,yes
228,Are nahi tag line was “Main Khoon Ke Aansu Royi Hu Kal”... khud ki galti or khud hi chilla rahi thi... #bb11,no,no,no,no
229,Hate speech cases sirf mojahiro pe Banty hae,yes,yes,yes,no
230,"hai jaise Hitler,musolini,stalin,bagdadi aye the or sab khatm ho gye vaise ye daur bhi history ho jayega",no,no,no,no
231,Haan shilpa ne kya kiya aaj humne dekh Liya akash k saath jo kiya usne uske baad se I really hate that woman,yes,yes,yes,yes
232,Haleem beef hota hai sharma ji!!!! Modi ke sau khoon maaf hai bhaiyya! Chamche paalna modi ji se sekhe koi,no,no,no,no
233,Sanchalk the to tum kese bol sakte Ho kisiko uth za bol k aaj tumari vzase Hari hey hina ki team I hate you vikas and Shilpa,yes,yes,yes,yes
234,"Abhi tk to main kisiko vote nahi kr rha tha par ab zarur larunga luv ko, aur jitne baal uske kate h gandagi aur peeley daat n kasam itni nafrat ho chuki h na, agr unhone itni limit tk jana tha toh saalo ko pehle hi ganja kr dete, kyun hina n apne baal kate?",no,no,yes,yes
235,Jiss tarhan woh Hina ka stuff phanek rahi thi,no,no,no,no
236,Rightly said...purane episode ki baat karni ...aaj to bichara rok rha tha and kuch galt b ni kiya...fir bhi...kha se laate h itni hate,yes,yes,yes,no
237,"Bhai karan in Terrorist logo se bat mat kar apna hi bura hai , ye kisi ke sage nahi hote , inka alien mohammad khud kehta hai terrorism failao , bhai mat bat kar is jihadan se",yes,yes,yes,no
238,Yaha jo stupid haters log barking kar rhe are stupid log tum to kehto ho tum hina ke hater ho lekin mujhe jaha tak pta bai hum kiso ko hate karte hai to usske bare mai baat bhi karna pasand nhi karte lekin tumlog to 24*7 hina ke barre mai baat karte ho no matter hate comments,yes,yes,yes,no
239,@BiggBossNewz agar puneesh aur bandagi kalkothri m jate hai toh murder 2 ban jayegi bigboss k ghar m,no,no,no,no
240,"Ekdam ekdam sahi bola....kehe nahi sakte shilpa or punish ka defend krte krte khud hi na shahid ho jay....""Aao shilpa Maa mujhse bhi khoon kardo plzz""",no,no,no,no
241,Kal 2000 Gujaratiyo ke Khoon se apna haath rang ne wala Haiwan ask apne aapko Gujarat ka beta keh raha hai!!!!,no,no,no,no
242,Kya hoga ya bhai.. itna hatred..??,no,no,no,no
243,Hahaha Hina fare ki baat tum mat kro Duniya ki Sabse fake tum Ho or ye arshi Badha Hina Hina Kar Rahi hai do din Mai juta khyegi Hina se but Shilpa ji plz ab arshi ko Kabhi accept maaf na Krna we hate her usne bht ghatiya Kiya apke sat h..,yes,yes,yes,yes
244,Nhi jayenge aur rahi baat #luv tyagi ki uski to vaat lagni wali hai .. #Fakina always hate u,yes,yes,yes,yes
245,DHARNA DALWANAY KA LYA. JIS JUDGE NA MUMTAZ QADRI KO PHANSI KI SAZA DI US KO KUCH NAHIN OR GALIAN KIS KO,no,no,yes,no
246,Hina se hate itni hai ki bandagi ki gandagi bhi sahi lag rai hai tumko...,yes,yes,yes,yes
247,Tune kion ladai ki #Shilpa ji se tu bahut fake hai #Arshi. Vikas Gupta ne there like kya kya nhi kiya tune us vikas Gupta ko bura bola u fake person loser .hate u,yes,yes,yes,yes
248,hina ke against me jo  hi hoga vo sahi hoga i hate hinakhan,yes,yes,yes,yes
249,Hina se hate inka itna badh chuka hai ke sahi galat aur insaniyat ki tameez kho bethe hai.,yes,yes,yes,yes
250,Gawd! Is @Biggboss k season ne dusre celebs k bhi asli chehre dikha diye. Shocking,no,no,no,no
251,I hate heena too par bhai gali mat do,yes,yes,yes,no
252,#BANDAGI PUNISHI KO TO BAHER K JAIL ME DALO WAQEI SUFAID CHUDAIL KALA RAKSHAS...WE ALL HATE PUNGI GANDAGI KI DUKAN DONO ARSHI KO SHILPA SE LADA K NOMINATION SE BACHNA CHAHTE HAIN YE KUTTE KUTYA..KIDE PADEN PUNGI KO,yes,yes,yes,yes
253,thank you geeta ma'am. Insaan Nafrat me sahi aur galat hi bhool jata...,no,no,yes,no
254,"Hiten is my Fev, but wo entertain nhi h",no,no,no,no
255,Or vo bakri ka rape nhi karte Hai vo unki begam hi hoti hai,no,no,yes,no
256,Do one thing yr sabse pehle @GAUAHAR_KHAN n @iamkamyapunjabi ko tag karo n dikhao unhe k kisi ko HATE krne me itna ANDHA hona achha nai h..kam se kam sach jaan k ZAHAR uglo. Inko khudka @lostboy54 n Arshi b us convo me the wo to inko dikhega nai bas HINA HINA kra lo inse #ajiblog,yes,yes,yes,no
257,Shilpa  ko  jese  show  se  nikal  ke faka  hai  wese  he  bb se  bhi  nikal  ke  fake  do  kuch  deserve  nahe  karte  wo I hate  Shilpa  shinde,yes,yes,yes,yes
258,Dikhta h Kon loser h Kal dekhna tumhaari bandagi and puneesh jaayenge jail then majja aayega ..Shilpa bhi khoon ke aasu royegi @eyehinakhan #hinakhan stay strong,no,no,no,no
259,Hina ne bandagi ko darane ke liye khudke thode kaate but bandagi ne uske bahot saare kaate hain .. It's not a fact just blind hate Lol agar tumko lagta hai wo sahi tha to I have nothing to say,yes,yes,yes,no
260,Akash ki kya halat ki h ....aur wo bitch bandagi baar baar khoon k ansu khoon k ansu kr rahi h dikhe to nhi aansu...kisi k mirchi ankh mei jae to wo ankh nhi khol paega...bt wo thodi der mei khadi thi task mei waooo...,no,yes,no,no
261,Vote for luv tyagi...  Aaj jo hua..  Uske baad he deserves to stay in bb house.... Such cruel punish and bandagi...  Is waqt vikas ne trimmer q nhi chhinna uske haath se...  I hate punish bandagi vikas shilpa...,yes,yes,yes,yes
262,Hate @eyehinakhan . Trigger wahi karti hai.. Uske show me bhi chubti thi.. Or yaha bhi.,yes,yes,yes,yes
263,"Marne ke liye sirf public hai, ye dono haramkhor ganje Bhaion ko is liye roka gaya taa ke Hamara mazeed khoon choos saken!!",no,no,no,no
264,ji hona chahiye #stand against #terror...,no,no,no,no
265,YE hai desh ki police ke haal,no,no,no,no
266,"murder karne waale ko aachaarsahita ki wajha se action se dur kiya hua hai,har... http://fb.me/6zG4UrmoE ",no,no,no,no
267,"Ppp corupt zardari mafya bun chuki,sindi awam unse sakht nafrat karta,ab sindi ki umid,gareeb Mazloom ka bhadr sathi",no,no,yes,yes
268,zyada hogya hai rape se aagay nikal gayi hai aj kahani...,no,no,yes,no
269,kisse bol rahe ho bhakt ko bol kar hi laya gaya ye bhadwa kadyani take hatred fela sake but d Q y d ppl go to dis show,no,no,yes,no
270,Listen to Aj Phir tum pe piyaar aya hai..... Hate Story2..... Arijit Singh by Awais jalil #np on #SoundCloudhttps://soundcloud.com/awais-jalil/aaj-phir-video-song-hate-stor …,yes,yes,yes,no
271,hehe wo writing ki wjase arhi thi  apni writing ko chukandar anaar aur kajar khilao take uska khoon bane,no,no,no,no
272,Riasati loug he hy nah jo Phir Aam worker k rape k baad qatal hone pr mulzimon ki pusht pnahi krte??,no,no,yes,no
273,party to girls kar rahi hai wo to bechara rape hone gaya hai lagta hai,no,no,yes,no
274,people are more important than their mistakes. Nafrat karna nahi aata. Hota hi nahi yaar. Aur Apno se toh bilkul nahi.,no,no,yes,no
275,@gauravcsawant ek bar phir 90s ki tarah fauj ke hath khol ke dekho India kya duniya se terrorism khatam kar degi #indianarmy.,no,no,no,no
276,ek bar phir 90s ki tarah fauj ke hath khol ke dekho India kya duniya se terrorism khatam kar degi #indianarmy.,no,no,no,no
277,ayesha aur muhammad ka rape hi kaladhan hai,no,no,yes,no
278,magar ye media walay to jaan boojh ker paise ke liye sab karrahe hain.,no,no,no,no
279,Karachi k baad Lahore mei bhi Rangers operation hona chahyay.,no,no,no,no
280,Logic: Taa k lahore b political terrorism sy nijat paaye.,no,no,no,no
281,"@alee5386 I hate you so much aaaleee , tum chor kar mujhe so kaise Gaye??!??",yes,yes,yes,yes
282,haan ! Congress ke rajya mein hota hi kya tha ..sirf ghotale scam rape mehangayi ..,no,no,yes,no
283,@BeingSalmanKhan Mujhe bilkul bhi pasand nahi k sm fans of urs uss stupid ko Bhabhi kahen khoon jalta hai mera .,no,yes,no,no
284,Jab rape ho rahe hote hai tab nhi aate yai nautanki karne.. Tilak lagake.. Mera bharat mahan  .. http://fb.me/1XkyGSXGE ,no,no,yes,no
285,mujhe bhi..I hate it..,yes,yes,yes,yes
286,ye q Rohan k sath hai I hate yr ajeb c hai,yes,yes,yes,yes
287,Bejoy bose ka murder thodi na kiya tha,no,no,no,no
288,... Tum log bhi acha kro ... yahan Terrorism krwane jin RAW walon ko bhjte ho tum log woh pakre jate hain,no,no,no,no
289,"Kabhi nafrat to kabhi dilo ka mail hai,",no,no,yes,no
290,Be dosti hi yaha “NOT FOR SALE” hai. pic.twitter.com/kcgcEOSw6b,no,no,no,no
291,"In Hindi there is song 4 Pak establishment, ""Tayyab Ali Pyaar ka Dushman hai hai hai.... Pak love to hate.",yes,yes,yes,no
292,juth muje bhi pasnd nai.. I Hate It.. jo bat samne bolna hai bolo acha lagta h,yes,yes,yes,yes
293,Aur Trust Kabhi na kabhi aiSe waise tut jata h,no,no,no,no
294,Isi wale muhammad aur allah ki ayesha ka rape kr rhe ...ayesha bachao bacho kr rhi,no,no,yes,no
295,"1 @Mufti_Yasir AAP IS BHAGODE @TarekFatah ko MUAAF KARDEN, ISME MARDON KA KHOON NAHI HAI. JO DEBATE KARE.",no,no,no,no
296,JO DEBATE KARE.,no,no,no,no
297,MR.MUKESH AMBANEE MADARCHAOD TERRE BETEE NISHA USHKEE GAAND KISEE AUR SE MARAYEE AIR BAOLEE MAI RAPE,no,no,yes,no
298,TEREE POLICE KI MSS CHAODOON,no,no,no,no
299,# Hakumat Khud Dahshatgard hai Agents ko Pala hua hai Lootmaar Crime Murder se Maal Banarahe hain,no,no,no,no
300,One Faadu Question...,no,no,no,no
301,Ye Nafrat bhara programme band karo Ye Islam ko badnam karne ki kodhish hay,no,no,yes,no
302,Bewakoof banakar khaayi me fek dete hai ...Use gaali dete hai ...use judge karte hai ..use hate karte hai toh woh bacha bohat sadme me din,yes,yes,yes,no
303,waise hi ho ga jaisa har rapist aap ki party se hota hai aur aap phir bhi rape party ko support karti hai.,no,no,yes,no
304,pehle se pata tha but aaj confirm ho gaya apna kuch nhi jaata but still i hate them,yes,yes,yes,yes
305,Kya bat karte ho sir?,no,no,no,no
306,tum aaj ptaa chaala hai main smart hu?,no,no,yes,no
307,"I don't hate , let them love apna kya jaata hai?",yes,yes,yes,no
308,INKE PAS LICENSE HAI KHOON KHARABA KARNE KA,no,no,no,no
309,I love you kahne par bhi or i hate you kahne par bhi bura maan jate haiv,yes,yes,yes,no
310,Es army ka Maine bohat sath diya lekin Lahore attack k baad mujhe Es khusri army se nafrat ho gayi hai. Enkay pas atom nhi@OfficialDGISPR,no,no,yes,yes
311,kabhi kabhi logon ki nafrat hi insan ki strength ka reason hota ha,no,no,yes,no
312,Bhagwa atankiyon ne bhi rape kiye hain...,no,no,yes,no
313,I hate cigeratte lekin kbhi kbhar dil chahta hai k pe he lu.,yes,yes,yes,yes
314,"Zee news pe Fatah ka Fatwa ban hona chahiye, ye yahan Hindu aur Musalamanon men Nafrat faila Raha hai.",no,no,yes,no
315,frustration & hatred bhai bhai,no,no,no,no
316,"@Rasheed14741988 Aur to baar baar Indian agency par lapet raha hai, Islamic terrorism koi Indian ka phenomena to nahi",no,no,no,no
317,aby randi ke bachy Rape ke kaam india main hote hain ... rapistan india ko bolte hain,no,no,yes,no
318,"Sir hukmaranon ko to kya kehna, Army ko bhee ab recharge k liey khoon chahiye ZIADA, AUR ZIADA",no,no,no,no
319,16  Dec 2014 (Nirbhaya Rape Case) ke Baad se Aaj se Delhi Mahilaao ke liye kitni Surakshit Hui hai ?,no,no,yes,no
320,ye dekho Prashant ko terror ka religion para chal Gaya. Sharam Karo.,no,no,no,no
321,"1@Mufti_Yasir AAP IS BHAGODE @TarekFatah ko MUAAF KARDEN, ISME MARDON KA KHOON NAHI HAI. JO DEBATE KARE.",no,no,no,no
322,Dil to chahta ha Hitler ki tarha tamam HODs ko sammandar main lajakar kashti bumb maar da army,no,no,no,no
323,Aaj ek question Z News pr pucha Gaya... 16 Dec 2014 (Nirbhaya Rape Case) ke Baad se Aaj se Delhi Mahilaao ke liye kitni Surakshit Hui hai ?,no,no,yes,no
324,aap hi ja k supreme court k judges ka kaam kar leejiye na. kabhi to bhai samjhdaari ki baat kr liya kro sir ji!!,no,no,no,no
325,"Aaj he DNA me dikhaa raha tha ke aap ne dilli ke Gaand maar Rakhi hai, daily rape ho rahe hai.",no,no,yes,no
326,1.Agar terrorism ka end chty hain to apny ass pas k garebon ka khyal rakha krain kyon k go b khud ko bomb se urata hai woh gareb hi hota hai,no,no,no,no
327,Abe ganje @ShekharGupta tu batting karta rah @yadavakhilesh ka because of hate @narendramodi 11th march. @tavleen_singhhttps://twitter.com/shekhargupta/status/831343862664695809 …,yes,yes,yes,no
328,mohabbat ky pardy mai karty ho nafrat.,no,no,yes,no
329,BACCHE KABHI KABHI RAPE KARLETE HAI BECHARE  https://plus.google.com/111437510627639906525/posts/NDq4qdYmJiR?_utm_source=199-1-1 …,no,no,yes,no
330,I hate girls bolne Vale londe vohi hote hai Jo sale YouTube par jaakr how to impress girls jaisi bakchod videos dekhte hai.,yes,yes,yes,no
331,"ha ha education? salo tumne education ke naam par orto ko nanga kar rakha he, or rape badhte ja rahe, sirf or sirf isliye",no,no,yes,no
332,"ek gang ke crime se terrorism prove nahi hota, agar hota to UN ne ban lagaya hota.",no,no,no,no
333,"waise to shia sunni apas me ladate rahate hain iraq iran me, lekin wah terrorism nahi kaha gaya.",yes,no,yes,no
334,"aur us ek gang ke upar bhee ilzam hai, ilzam politically motivated ho saka hai.islamic terrorism worldwide hai",no,no,no,no
335,akhilesh se rape ka sawal pochne pe apko bahut bura lag raha hai jaise UP crime free hai aur log yu hi sawal kar rahe hain,no,no,yes,no
336,"Islamic terrorism puri duia me ek bada problem hai, aur sab jagah muslims utpat macha rahe hain",no,no,no,no
337,"lekin ek gang aur kuch logon ke hone se koi hindu terrorism prove nahi hota,",no,no,no,no
338,"Choti si pradesh gujurat me satadhari party ke sevak lok jab aurato ko rape karte he, black mail kar rahe he to kanun bebadta thika he https://twitter.com/AjayKushwaha_/status/831482730428919810 …",yes,no,yes,no
339,reject karna tha to seedha bol deti.. Murder karwane ki kya jarurat thi  @_GlossyLipss,no,no,no,no
340,Islamic terrorism ek worldwide phenomena hai aur labbhag har desh ke muslims isame shamil hain,no,no,no,no
341,Rakesh ji apne aakaon ko samjhao WO apne knowledge ko desh ki unity & progress ke liye use Karen kab take minority se nafrat karoge,no,no,yes,no
342,"ek kisi gang ke hone se terrorism ka hona sidh nahi hota, unlogon ka koi terrorist network nahi.",yes,yes,yes,no
343,@15lakh100days Abe dhakan Islam sirf 1400 saal purana hai/tum Sab ko rape karke/marke conversion karke mulla banaya @SandipRnc https://twitter.com/15lakh100days/status/831525420562579456 …,yes,no,yes,no
344,Aur islamic terrorism worldwide phenomena hai tu ATS ke peeche laga hai jaise ATS hee sab kuch hai?,no,no,no,no
345,terrorism ka koi dharm nehi hota aur tere hai sasti rand k bachcho ka koi name nehi hota..,no,no,no,no
346,"tuk to gaya na, jo ruk gaya to woh terrorism kaise hua/ aur jo ruk gaya usako tu ghont kyon raha hai.",no,no,no,no
347,Baleegh ur Rehman ka rape chal raha hai Hamir Mir k show mai.,no,no,yes,no
348,"11 logon se terrorism nahi hoti, you dumb, haan ek gang ban skata hai,",no,yes,no,no
349,to karekarey sahab ka naam kyoun na lun jis ne hindu terrorism ka parda faash kiya,no,no,no,no
350,"haan hum to bhakt hai terrorist thode hain tumhari taraha, terrorism to tumhari khoon me hai.",yes,yes,yes,no
351,"Islamic terrorism ka to roj pardafash hota hai to rukana chahiye tha,",no,no,no,no
352,mere jism ka khoon ka akhiro qatra quraban ho rasool pe aur tumhara pura body ganga nadi pe hahaha,yes,no,no,no
353,UP ke Law n Order Ki To le ke rakhi hai,no,no,no,no
354,Gundagardi murder rape... http://fb.me/2X1unmAUp ,no,no,yes,no
355,aaye din terrorists attack ho rahe hain wahan se Islamic terrorism ka pata hota hai mere kahane se nahi.,yes,no,yes,no
356,hadd toh tab hogayi jab uski frnd ne bola ki annika ka murder kyu nahi hojata hadi wadi bolte the usse,no,no,no,no
357,Tumhare certificate ki zaroorat nahi,no,no,no,no
358,Muje seasat se bhot nafrat hai phans gaya account bana k jab open karun account hazer imran nawaz humza sub ki he post aa jati hai,no,no,yes,yes
359,kyonkti tu woh bola raha hai jo hai nahi. Muslims terrorism worldwide hai aur tu thop raha hai dusaron par,no,no,no,no
360,mujhe v Mann karta hai murder kar du,no,no,no,no
361,Islamic terrorism puri dunia me hai aur hazaron lakhon Mulsims isame involved hain kewal kuch group nahi,no,no,no,no
362,"ek do ghatna se terrorism ka hona proof nahi hota, terrorism ek continuous phenomenoa hai aur organized",no,no,no,no
363,"aaj ke din me islamic terrorism ke alava koi aur terrorism nahi hai, agar hai to tu bata sakta hai kidhara hai?",no,no,no,no
364,MADARSON KO TERRORISM SE JORHNE WALA KHUD TERRORIST HAI.,yes,yes,yes,no
365,Tamam indians chaahte hen k.hum piyaar muhabbat se rahen.. or tum nafrat ke beej bo rahe ho... shame on u @TarekFatah,no,no,yes,no
366,Woh suna hai tumhare faujion ko unke senior rape karte hain?,no,no,yes,no
367,Niazi HaramKhor Pakistan ko Terrorism mai dhkail raha hai,no,no,no,no
368,"#BanFatahkFatwa, is dor ka sab se begerat chainal zee news hai jis ne tarikh fatha ko bula kr nafrat phela rha hai#BanFatahKaFatwa",no,no,yes,no
369,Is @TarekFatah ko hamare sanvidhan aur desh ki fikr hoti to aaj ye ZeeNews pe beth ke nafrat ka bazaar na faila raha hota #BanFatahKaFatwa,no,no,yes,no
370,Wait karte raho sir ek din Hate Story bhi aayegi,yes,yes,yes,no
371,Hamare yaha Red balloons bechne walay jail pohanch jatay hain lekn khoon bahanay walay sarko par ghoomtay hain.,no,no,no,no
372,Ye love hai to kya hum hate hain :(,yes,yes,yes,no
373,Bc terrorism ko kis se compare kr rha h :/,no,no,no,no
374,Kiu kuch log chehre pr dohra chehra lekr ghumte h jese h wese kiu nhi dikhte sabke samne kuch or alag m kuch not i just hate them,yes,yes,yes,yes
375,Tumere Did may hate laggakor deko Garv zoorur milaga,yes,yes,yes,no
376,Tweetr pe murder ki planning padh li to ghar aake utha lenge muje,no,no,no,no
377,tumhara program sirf nafrat phailata hai#banfatahkafatwa,no,no,yes,no
378,@TarekFatah hate monger hy apni hate speech ki wajeh se arrest bhi ho chuka hy @Support #suspendtarekfatahacc @SushmaSwaraj #BanFatahKaFatwa,yes,yes,yes,no
379,"I hate it when people do ""ARAY AAP LEIN NA"" ""ARAY NAE NAE AAP LEIN"" on dining table. Lao bhai mujhey bhook lag rahi hai pehley mujhey de dou",yes,yes,yes,yes
380,Nafrat phailane wala ye propaganda band hona chahiye.,no,no,yes,no
381,"Ab itni bhi kya nafrat hai yaar, when is this trend going to stop convicted hogayi bas qissa khatm kro #closethechapter #SasikalaConvicted",no,no,yes,no
382,Twitter par hum bhi 5-6 Saal se hai kyun suspend nahi huwe? Hatred aur fake videos or news post karoge to suspend to honge hi,no,no,no,no
383,"njab hindu terrorism ki khabar aaye to ankh awr kaan band kar lena, jayse 11 bharat mata k log pakistan mata ki",no,no,no,no
384,jin ka eman bik chuka ho un ko blasts se kya faraq parta hai in ko sb pata hota hai lekin phr b khamosh,no,no,no,no
385,6 saal ki bachi ka rape kar k naalay me phenk dete hain log us pr Emaan nahi jaagta but okay valentines day is... http://fb.me/8tVhW8Fmq ,no,no,yes,no
386,tarik fateh .....agar aap sahi job karte to hindu muslim ke same same tweet hote...tweet hi se lagta hai ke aap nafrat phela rahe ho,no,no,yes,no
387,innovation unake khoon kae katrae katrae mein hain .,no,no,no,no
388,hone do bhai suspend dono side se. Kachra khtm hoga. Bht hi jyada hate spread kr rkhi in chutiyon se logo k bech,yes,yes,yes,no
389,"Sahi Kaha Rohit Bemula,Akhlakh Dadri, Nirbhaya rape victim 10k inam, JNU support to afajal premi ye sabhi pap ki nadi par ki",no,no,yes,no
390,Valentine day mananay aur terrorism karne wali 2 intahaie hein aur en dono mein Itidal acha,no,no,no,no
391,A beghairat. Jiski waja se hum singles ka khoon khoulta hai. https://twitter.com/MuzamilSheikhh/status/831089265329176576 …,yes,no,no,no
392,aur jo muslim rulers ne hinhus ki hatya hindu ladies se rape kiye the uska hisab tere baap dega ......,yes,no,yes,no
393,Agar terrorism khatam karna chahte ho to Nawaz zardari Iltaf Asfandiyar ko khatam karna hoga pir mulk ka nizam teak ho jaega,no,no,no,no
